"No.","Time","Source","Destination","Protocol","Length","Info"
"16","1.110639","fe80::4cde:e6ff:fe0c:28a5","ff02::fb","MDNS","212","Standard query 0x0000 ANY 5.a.8.2.c.0.e.f.f.f.6.e.e.d.c.4.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa, ""QM"" question ANY debian.local, ""QM"" question AAAA fe80::4cde:e6ff:fe0c:28a5 PTR debian.local"
"17","1.120977","fe80::4cde:e6ff:fe0c:28a5","ff02::fb","MDNS","107","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
"18","1.148001","fe80::484f:c0ff:fe76:ffb6","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"19","1.169178","fe80::484f:c0ff:fe76:ffb6","ff02::fb","MDNS","212","Standard query 0x0000 ANY 6.b.f.f.6.7.e.f.f.f.0.c.f.4.8.4.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa, ""QM"" question ANY debian.local, ""QM"" question AAAA fe80::484f:c0ff:fe76:ffb6 PTR debian.local"
"20","1.169303","172.25.2.1","224.0.0.251","MDNS","192","Standard query 0x0000 ANY 6.b.f.f.6.7.e.f.f.f.0.c.f.4.8.4.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa, ""QM"" question ANY debian.local, ""QM"" question AAAA fe80::484f:c0ff:fe76:ffb6 PTR debian.local"
"21","1.169463","172.25.2.1","224.0.0.251","MDNS","82","Standard query response 0x0000 A, cache flush 172.25.2.1"
"22","1.182282","3a:15:c9:71:30:ea","Broadcast","ARP","42","ARP Announcement for 172.25.2.50"
"23","1.361075","fe80::4cde:e6ff:fe0c:28a5","ff02::fb","MDNS","212","Standard query 0x0000 ANY 5.a.8.2.c.0.e.f.f.f.6.e.e.d.c.4.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa, ""QM"" question ANY debian.local, ""QM"" question AAAA fe80::4cde:e6ff:fe0c:28a5 PTR debian.local"
"24","1.420564","fe80::484f:c0ff:fe76:ffb6","ff02::fb","MDNS","212","Standard query 0x0000 ANY 6.b.f.f.6.7.e.f.f.f.0.c.f.4.8.4.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa, ""QM"" question ANY debian.local, ""QM"" question AAAA fe80::484f:c0ff:fe76:ffb6 PTR debian.local"
"25","1.420607","172.25.2.1","224.0.0.251","MDNS","192","Standard query 0x0000 ANY 6.b.f.f.6.7.e.f.f.f.0.c.f.4.8.4.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa, ""QM"" question ANY debian.local, ""QM"" question AAAA fe80::484f:c0ff:fe76:ffb6 PTR debian.local"
"26","1.563903","fe80::4cde:e6ff:fe0c:28a5","ff02::16","ICMPv6","110","Multicast Listener Report Message v2"
"27","1.612105","fe80::4cde:e6ff:fe0c:28a5","ff02::fb","MDNS","212","Standard query 0x0000 ANY 5.a.8.2.c.0.e.f.f.f.6.e.e.d.c.4.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa, ""QM"" question ANY debian.local, ""QM"" question AAAA fe80::4cde:e6ff:fe0c:28a5 PTR debian.local"
"28","1.620493","172.25.2.1","224.0.0.251","MDNS","180","Standard query response 0x0000 PTR, cache flush debian.local AAAA, cache flush fe80::484f:c0ff:fe76:ffb6"
"29","1.620571","fe80::484f:c0ff:fe76:ffb6","ff02::fb","MDNS","200","Standard query response 0x0000 PTR, cache flush debian.local AAAA, cache flush fe80::484f:c0ff:fe76:ffb6"
